Sleeper,Mapped_Name,Suggested_Fantasy_Pros,Suggested_Value,Confidence,Notes
Joe Royer,Joe Royer,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kentrel Bullock,Kentrel Bullock,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Noah Whittington,Noah Whittington,,,,Review and add to rookies file or fp_sleeper_mapping.txt
DeaMonte Trayanum,DeaMonte Trayanum,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Damien Alford,Damien Alford,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Colbie Young,Colbie Young,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kaden Wetjen,Kaden Wetjen,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Max Bredeson,Max Bredeson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Barion Brown,Barion Brown,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Lewis Bond,Lewis Bond,,,,Review and add to rookies file or fp_sleeper_mapping.txt
CJ Williams,CJ Williams,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Athan Kaliakmanis,Athan Kaliakmanis,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dallen Bentley,Dallen Bentley,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Carsen Ryan,Carsen Ryan,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Anthony Smith,Anthony Smith,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chandler Morris,Chandler Morris,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cash Jones,Cash Jones,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Matthew Caldwell,Matthew Caldwell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kyron Drones,Kyron Drones,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Tyren Montgomery,Tyren Montgomery,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jack Strand,Jack Strand,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Gregory Desrosiers,Gregory Desrosiers,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sincere Brown,Sincere Brown,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jerand Bradley,Jerand Bradley,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Luke Wysong,Luke Wysong,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Marcus Sanders,Marcus Sanders,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dillon Bell,Dillon Bell,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Shaleak Knotts,Shaleak Knotts,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Evan Svoboda,Evan Svoboda,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Devonte Ross,Devonte Ross,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Mason Shipley,Mason Shipley,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Michael Wortham,Michael Wortham,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ben Patterson,Ben Patterson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Alex Bullock,Alex Bullock,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Brady Boyd,Brady Boyd,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ethan Conner,Ethan Conner,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Will Pauling,Will Pauling,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Wesley Grimes,Wesley Grimes,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Marcus Burke,Marcus Burke,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Harrison Wallace,Harrison Wallace,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Trent Battle,Trent Battle,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chris Hilton,Chris Hilton,,,,Review and add to rookies file or fp_sleeper_mapping.txt
